active,branch_id,created_at,currency_name,description,end_date,fixed_rate,id,id_zone,index,name_branch,start_date,status,timezones,total,total_page,zone_name
1,17,2022-11-18 18:18,Rupiah,"RP. Kapal Angkutan Laut DN, Bendera Indonesia",2026-08-22 23:01,99.8,252,124,1,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,8,1,ZONA GRESIK
1,17,2022-11-18 18:18,Dollar,US$. Kapal Angkutan Laut DN/LN bendera Indonesia/Luar negeri,2026-08-22 23:01,0.118,253,124,2,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,8,1,ZONA GRESIK
1,17,2022-11-18 18:18,Rupiah,Rp. Beton,2026-08-22 23:01,116,38,123,3,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,8,1,ZONA SURABAYA
1,17,2022-11-18 18:18,Dollar,US$. Dolphin,2026-08-22 23:01,0.065,34,123,4,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,8,1,ZONA SURABAYA
1,17,2022-11-18 18:18,Rupiah,Rp. Dolphin,2026-08-22 23:01,41,33,123,5,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,8,1,ZONA SURABAYA
1,17,2022-11-18 18:18,Dollar,US$. Pinggiran,2026-08-22 23:01,0.046,32,123,6,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,8,1,ZONA SURABAYA
1,17,2022-11-18 18:18,Dollar,US$. Beton,2026-08-22 23:01,0.131,35,123,7,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,8,1,ZONA SURABAYA
1,17,2022-11-18 18:18,Rupiah,Rp. Pinggiran,2026-08-22 23:01,41,39,123,8,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,8,1,ZONA SURABAYA
