no_pkk,no_pkk_inaportnet,vessel_name_spb,company_name,name_process_code,gt,loa,name_branch,departure_date,nomor_pkk,nomor_spb,vessel_name_wasop,waktu_tolak,NAMA KAPAL,GT,LOA,DARI,KE,PERUSAHAAN,NO SPK PANDU,NO PKK INAPORTNET,NO PKK,NAMA PANDU,MULAI PANDU,SELESAI PANDU,KAPAL TUNDA 1,KAPAL TUNDA 2,KAPAL TUNDA 3,MULAI TUNDA,SELESAI TUNDA,ZONA,STATUS NOTA
Y07U57000001,PKK.DN.IDSTU.2508.000544,GOLD TRANS 3309,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4362.0,100.58,KOTABARU,2025-08-26 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
I0YH57000004,PKK.DN.IDSTU.2503.000594,GOLD TRANS 3315,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4399.0,100.58,KOTABARU,2025-03-27 00:42,nan,,,,,,,,,,,nan,,,,,,,,,,,
0KQW57000001,PKK.DN.IDKBU.2507.000005,MJL 3011,PT. MASADA JAYA LINES,Request PPKB,3117.0,91.44,KOTABARU,2025-07-31 15:45,nan,,,,MJL 3011,3117,91.44,REDE BATULICIN,STS TG PETANG,PT. MASADA JAYA LINES,IDKBU-PLD-SPK.2511.012336,PKK.DN.IDKBU.2507.000005,0KQW57000001,ALHAM,22-11-2025 21:28,22-11-2025 21:44,,,,,,ZONA BATULICIN,BELUM VERIFIKASI
WCA957000002,PKK.DN.IDSTU.2505.000426,RALINE 1,PT. BATULICIN NUSANTARA MARITIM Tbk,Request PPKB,3103.0,91.44,KOTABARU,2025-05-20 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
ILFQ57000002,PKK.DN.IDSTU.2506.000462,RMN 3312,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,4337.0,96.56,KOTABARU,2025-06-23 09:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
O98C57000001,PKK.DN.IDSTU.2505.000118,RMN 3331,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,4338.0,96.56,KOTABARU,2025-05-06 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
KL5N57000004,PKK.DN.IDSTU.2503.000553,GOLD TRANS 3311,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4362.0,100.58,KOTABARU,2025-03-26 15:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
36SI57000006,PKK.DN.IDSTU.2508.000198,RMN 342 J,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3137.0,91.52,KOTABARU,2025-08-15 15:55,nan,,,,,,,,,,,nan,,,,,,,,,,,
Y9T257000002,PKK.DN.IDKBU.2412.000376,LIANA IV,PT. ALWIESTA NIAGA MANDIRI,Realization,3088.0,91.44,KOTABARU,2024-12-14 03:23,nan,,,,LIANA IV,3088,91.44,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012362,PKK.DN.IDKBU.2412.000376,Y9T257000002,ARI AGUS PRASETYO,23-11-2025 09:41,23-11-2025 10:06,,,,,,STS KOTABARU,BELUM VERIFIKASI
7YPI31000001,PKK.LN.IDLBR.2511.000155,RIVIERA,BAHARI LAJU ANUGERAH,Realization,66172.0,239.3,LEMBAR,2025-11-23 07:00,PKK.LN.IDLBR.2511.000155,SPB.IDLBR.1125.0000152,RIVIERA,2025-11-23T07:00:00.000Z,RIVIERA,66172,239.3,LAUT,PETIKEMAS DAN CRUISE,BAHARI LAJU ANUGERAH,IDLBR-PLD-SPK.2511.003206,PKK.LN.IDLBR.2511.000155,7YPI31000001,AWAL MUDZAKIR,23-11-2025 05:47,23-11-2025 07:00,ANGGADA XV,TB. Samudera Makmur 02,,23-11-2025 05:37,23-11-2025 06:39,ZONA LEMBAR,BELUM VERIFIKASI
DBL013000380,PKK.DN.IDSUB.2511.000874,DLN BATU LAYAR,"DAMAI LAUTAN NUSANTARA, PT",Realization,9170.0,109.48,TANJUNG PERAK,2025-11-23 11:00,PKK.DN.IDSUB.2511.000874,SPB.IDSUB.1125.0000872,DLN BATU LAYAR,2025-11-23T10:00:00.000Z,DLN BATU LAYAR,9170,109.48,LAUT,JAMRUD UTARA,"DAMAI LAUTAN NUSANTARA, PT",IDSUB-PLD-SPK.2511.029324,PKK.DN.IDSUB.2511.000874,DBL013000380,CUNDRAD LILINE,23-11-2025 08:51,23-11-2025 10:38,KT.JAYANEGARA 305,TB. SEMAR 82,,23-11-2025 10:21,23-11-2025 10:38,ZONA SURABAYA,BELUM VERIFIKASI
LX0057000005,PKK.DN.IDKBU.2510.000822,LIANA XIX,PT. ALWIESTA NIAGA MANDIRI,Realization,4265.0,100.58,KOTABARU,2025-11-01 02:00,nan,,,,LIANA XIX,4265,100.58,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012346,PKK.DN.IDKBU.2510.000822,LX0057000005,ARI AGUS PRASETYO,22-11-2025 21:47,22-11-2025 22:09,,,,,,STS KOTABARU,BELUM VERIFIKASI
S32E57000003,PKK.DN.IDKBU.2412.000687,SAMTIMAS 03,PT. ALWIESTA NIAGA MANDIRI,Realization,3107.0,91.44,KOTABARU,2024-12-24 07:00,nan,,,,SAMTIMAS 03,3107,91.44,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012350,PKK.DN.IDKBU.2412.000687,S32E57000003,ARI AGUS PRASETYO,22-11-2025 22:05,22-11-2025 22:26,,,,,,STS KOTABARU,BELUM VERIFIKASI
4YHQ57000002,PKK.DN.IDKBU.2504.000534,LIANA XXXXV,PT. ALWIESTA NIAGA MANDIRI,Realization,3442.0,91.44,KOTABARU,2025-04-24 02:00,nan,,,,LIANA XXXXV,3442,91.44,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012349,PKK.DN.IDKBU.2504.000534,4YHQ57000002,ARI AGUS PRASETYO,22-11-2025 21:25,22-11-2025 21:46,,,,,,STS KOTABARU,BELUM VERIFIKASI
2FTY57000002,PKK.DN.IDKBU.2501.000070,LIANA LXX,PT. ALWIESTA NIAGA MANDIRI,Realization,4362.0,100.58,KOTABARU,2025-01-03 02:00,nan,,,,LIANA LXX,4362,100.58,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012359,PKK.DN.IDKBU.2501.000070,2FTY57000002,ARI AGUS PRASETYO,22-11-2025 22:29,22-11-2025 22:49,,,,,,STS KOTABARU,BELUM VERIFIKASI
