no_pkk,no_pkk_inaportnet,vessel_name_spb,company_name,name_process_code,gt,loa,name_branch,departure_date,nomor_pkk,nomor_spb,vessel_name_wasop,waktu_tolak,NAMA KAPAL,GT,LOA,DARI,KE,PERUSAHAAN,NO SPK PANDU,NO PKK INAPORTNET,NO PKK,NAMA PANDU,MULAI PANDU,SELESAI PANDU,KAPAL TUNDA 1,KAPAL TUNDA 2,KAPAL TUNDA 3,MULAI TUNDA,SELESAI TUNDA,ZONA,STATUS NOTA
XNQ725000025,PKK.DN.IDBDJ.2511.001571,CELVIA STAR 11,"BARITO SAMUDRA SEJAHTERA, PT",Realization,4006.0,91.44,BANJARMASIN,2025-11-20 15:00,PKK.DN.IDBDJ.2511.001571,SPB.IDBDJ.1125.0002325,CELVIA STAR 11,2025-11-19T15:00:00.000Z,CELVIA STAR 11,4006,91.44,PULAU BAKUT,REDE TRISAKTI,"BARITO SAMUDRA SEJAHTERA, PT",IDBDJ-PLD-SPK.2511.058174,PKK.DN.IDBDJ.2511.001571,XNQ725000025,CECILIA KUSUMA TANTRI,13-11-2025 22:57,13-11-2025 22:58,,,,,,BANJARMASIN,BELUM VERIFIKASI
B50013000103,PKK.DN.IDSUB.2511.000506,BARUNA 58-I,"KARTIKA JASA KARYA, PT",Realization,755.0,65.22,TANJUNG PERAK,2025-11-15 13:00,nan,,,,BARUNA 58-I,755,65.22,LAUT,ZONA LABUH 2 (SURABAYA),"KARTIKA JASA KARYA, PT",IDSUB-PLD-SPK.2511.028427,PKK.DN.IDSUB.2511.000506,B50013000103,RACHMAT HIDAYAT,15-11-2025 08:46,15-11-2025 08:47,,,,,,ZONA SURABAYA,BELUM VERIFIKASI
R3A313000041,PKK.DN.IDGRE.2511.000384,LUMINOR 3,"ANUGERAH PRIMA SAMUDERA, PT",Realization,2406.0,80.7,TANJUNG PERAK,2025-11-20 16:00,PKK.DN.IDGRE.2511.000384,SPB.IDGRE.1125.0000602,LUMINOR 3,2025-11-22T16:00:00.000Z,LUMINOR 3,2406,80.7,LAUT,DERMAGA PT. WILMAR NABATI,"ANUGERAH PRIMA SAMUDERA, PT",IDGRE-PLD-SPK.2511.013106,PKK.DN.IDGRE.2511.000384,R3A313000041,MASHAL,16-11-2025 17:25,16-11-2025 17:56,KT. SEROJA HERCULES I,,,,,ZONA GRESIK,BELUM VERIFIKASI
H0AH25000025,PKK.DN.IDBDJ.2511.001543,SUPPORT 15,MEGA BAHTERA KENCANA PT,Request PPKB,2133.0,79.01,BANJARMASIN,2025-11-14 15:00,PKK.DN.IDBDJ.2511.001543,SPB.IDBDJ.1125.0002811,SUPPORT 15,2025-11-23T15:00:00.000Z,,,,,,,,nan,,,,,,,,,,,
SHK113000040,PKK.DN.IDSUB.2511.000502,SPIL HANA,"SALAM PACIFIC INDONESIA LINES, PT",Realization,10195.0,135.69,TANJUNG PERAK,2025-11-15 23:00,PKK.DN.IDSUB.2511.000502,SPB.IDSUB.1125.0000641,SPIL HANA,2025-11-17T16:00:00.000Z,SPIL HANA,10195,135.69,LAUT,DERMAGA BERLIAN,"SALAM PACIFIC INDONESIA LINES, PT",IDSUB-PLD-SPK.2511.028542,PKK.DN.IDSUB.2511.000502,SHK113000040,TEMMY KRISTOF REGULUS SILOOY,15-11-2025 17:50,15-11-2025 20:35,KT. JAYANEGARA 304,,,15-11-2025 19:28,15-11-2025 20:11,ZONA SURABAYA,BELUM VERIFIKASI
CE5L25000122,PKK.DN.IDBDJ.2511.001533,TUNJUNG MADYA 2,"GLOBAL TRANS ENERGY INTERNASIONAL, PT",Realization,3352.0,91.5,BANJARMASIN,2025-11-15 15:00,PKK.DN.IDBDJ.2511.001533,SPB.IDBDJ.1125.0002053,TUNJUNG MADYA 2,2025-11-17T17:00:00.000Z,TUNJUNG MADYA 2,3352,91.5,PULAU BAKUT,REDE TRISAKTI,"GLOBAL TRANS ENERGY INTERNASIONAL, PT",IDBDJ-PLD-SPK.2511.058135,PKK.DN.IDBDJ.2511.001533,CE5L25000122,RUDY GANDA BUDY,13-11-2025 17:06,13-11-2025 19:49,,,,,,BANJARMASIN,BELUM VERIFIKASI
PB0025000012,PKK.DN.IDBDJ.2511.001532,PEKAN BERAU,"SALAM PACIFIC INDONESIA LINES, PT",Realization,3781.0,97.54,BANJARMASIN,2025-11-15 08:00,PKK.DN.IDBDJ.2511.001532,SPB.IDBDJ.1125.0001931,PEKAN BERAU,2025-11-16T23:00:00.000Z,PEKAN BERAU,3781,97.54,LAUT,REDE TRISAKTI,"SALAM PACIFIC INDONESIA LINES, PT",IDBDJ-PLD-SPK.2511.058267,PKK.DN.IDBDJ.2511.001532,PB0025000012,RIGEL THOMAS PILOR,15-11-2025 13:34,15-11-2025 16:00,,,,,,BANJARMASIN,BELUM VERIFIKASI
MUE026000001,PKK.LN.IDCXP.2511.000055,MV UNION ETHOS,"DALIAN PUTRA MARITIM, PT",Realization,23224.0,179.93,TANJUNG INTAN,2025-11-30 13:00,PKK.LN.IDCXP.2511.000055,SPB.IDCXP.1125.0000091,MV UNION ETHOS,2025-11-23T03:00:00.000Z,MV UNION ETHOS,23224,179.93,LAUT,MULTIPURPOSE I,"DALIAN PUTRA MARITIM, PT",IDCXP-PLD-SPK.2511.003088,PKK.LN.IDCXP.2511.000055,MUE026000001,YUSUP,17-11-2025 23:17,18-11-2025 01:22,DIASRAYA,KT JAYANEGARA 301,,17-11-2025 23:45,18-11-2025 01:27,TANJUNG INTAN,BELUM VERIFIKASI
M7RA26000007,PKK.DN.IDCXP.2511.000054,HABCO PEGASUS,"PELAYARAN BAHTERA ADHIGUNA, PT",Realization,23426.0,180.0,TANJUNG INTAN,2025-11-18 01:00,PKK.DN.IDCXP.2511.000054,SPB.IDCXP.1125.0000090,HABCO PEGASUS,2025-11-23T00:00:00.000Z,HABCO PEGASUS,23426,180,LAUT,PLTU 2 JATENG ADIPALA BUNTON,"PELAYARAN BAHTERA ADHIGUNA, PT",IDCXP-PLD-SPK.2511.003130,PKK.DN.IDCXP.2511.000054,M7RA26000007,FAISSAL RISZA JOKO UTOMO,19-11-2025 15:19,19-11-2025 16:17,DIASRAYA,KT JAYANEGARA 301,,19-11-2025 15:43,19-11-2025 16:20,TANJUNG INTAN,BELUM VERIFIKASI
CM1774000001,PKK.DN.IDKUM.2511.000069,CITRA MANDIRI 2017,"SALAM SAMUDRA ENERGI, PT",Realization,889.0,54.86,KUMAI,2025-11-23 03:00,PKK.DN.IDKUM.2511.000069,SPB.IDKUM.1125.0000129,CITRA MANDIRI 2017,2025-11-22T16:00:00.000Z,CITRA MANDIRI 2017,889,54.86,LAUT,REDE KUMAI,"SALAM SAMUDRA ENERGI, PT",IDKUM-PLD-SPK.2511.004805,PKK.DN.IDKUM.2511.000069,CM1774000001,YAHYA TAMBARU RANDE,20-11-2025 06:23,20-11-2025 08:25,,,,,,ZONA KUMAI,BELUM VERIFIKASI
GOT125000019,PKK.DN.IDBDJ.2511.001524,GOLD TRANS 304,PT Aditya Kurnia Mandiri,Realization,3154.0,91.5,BANJARMASIN,2025-11-20 15:00,PKK.DN.IDBDJ.2511.001524,SPB.IDBDJ.1125.0001708,GOLD TRANS 304,2025-11-14T15:55:00.000Z,GOLD TRANS 304,3154,91.5,LAUT,REDE TRISAKTI,PT Aditya Kurnia Mandiri,IDBDJ-PLD-SPK.2511.058132,PKK.DN.IDBDJ.2511.001524,GOT125000019,DODIK ISMAIL,13-11-2025 12:44,13-11-2025 15:25,,,,,,BANJARMASIN,BELUM VERIFIKASI
WVI809000002,PKK.DN.IDSRG.2508.000194,DHARMA RUCITRA VIII,"DHARMA LAUTAN UTAMA, PT",Request PPKB,19010.0,145.03,TANJUNG EMAS,2025-09-02 18:46,PKK.DN.IDSRG.2508.000194,SPB.IDSRG.0925.0000092,DHARMA RUCITRA VIII,2025-09-08T08:00:00.000Z,,,,,,,,nan,,,,,,,,,,,
DPL029000002,PKK.DN.IDKOE.2511.000091,NAVALINK POLARIS,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Request PPKB,7960.0,109.0,TENAU KUPANG,2025-11-13 10:30,PKK.DN.IDKOE.2511.000091,SPB.IDKOE.1125.0000158,NAVALINK POLARIS,2025-11-21T20:00:00.000Z,,,,,,,,nan,,,,,,,,,,,
IAVX09000005,PKK.LN.IDSRG.2511.000131,MSC LILOU III,"SAMUDERA AGENCIES INDONESIA, PT",Realization,35824.0,220.5,TANJUNG EMAS,2025-11-14 16:00,nan,,,,MSC LILOU III,35824,220.5,LAUT,TPKS,"SAMUDERA AGENCIES INDONESIA, PT",IDSRG-PLD-SPK.2511.006806,PKK.LN.IDSRG.2511.000131,IAVX09000005,CHOLID CHUMAINI F,13-11-2025 15:50,13-11-2025 16:52,KRESNA 315,KT. GALUH 2,,13-11-2025 16:00,13-11-2025 16:50,ZONA SEMARANG,BELUM VERIFIKASI
4H0T09000018,PKK.DN.IDSRG.2511.000130,PUTRA KAPUAS XII,"BAHTERA SETIA, PT",Realization,1441.0,70.09,TANJUNG EMAS,2025-11-30 02:00,PKK.DN.IDSRG.2511.000130,SPB.IDSRG.1125.0000242,PUTRA KAPUAS XII,2025-11-22T14:00:00.000Z,PUTRA KAPUAS XII,1441,70.1,LAUT,DERMAGA PELABUHAN DALAM,"BAHTERA SETIA, PT",IDSRG-PLD-SPK.2511.006877,PKK.DN.IDSRG.2511.000130,4H0T09000018,SAUD HORAS SIMANJUNTAK,16-11-2025 11:15,16-11-2025 12:07,KT. BIMA 306,,,16-11-2025 11:18,16-11-2025 12:05,ZONA SEMARANG,BELUM VERIFIKASI
121L25000153,PKK.DN.IDBDJ.2511.001490,MBP 1402,"TERA LOGISTIC INDONESIA, PT",Realization,7950.0,112.5,BANJARMASIN,2025-11-15 15:00,PKK.DN.IDBDJ.2511.001490,SPB.IDBDJ.1125.0002011,MBP 1402,2025-11-17T15:00:00.000Z,MBP 1402,7950,112.5,PULAU BAKUT,REDE TRISAKTI,"TERA LOGISTIC INDONESIA, PT",IDBDJ-PLD-SPK.2511.058105,PKK.DN.IDBDJ.2511.001490,121L25000153,DARYANTO,13-11-2025 18:05,13-11-2025 21:38,,,,,,BANJARMASIN,BELUM VERIFIKASI
35VD25000048,PKK.DN.IDBDJ.2511.001478,CAKRAWALA XVII 2023,SARANA MARITIM SEJAHTERA PT,Realization,4338.0,100.58,BANJARMASIN,2025-11-12 22:00,PKK.DN.IDBDJ.2511.001478,SPB.IDBDJ.1125.0001895,CAKRAWALA XVII 2023,2025-11-16T15:00:00.000Z,CAKRAWALA XVII 2023,4338,100.58,PULAU BAKUT,REDE TRISAKTI,SARANA MARITIM SEJAHTERA PT,IDBDJ-PLD-SPK.2511.058076,PKK.DN.IDBDJ.2511.001478,35VD25000048,CECILIA KUSUMA TANTRI,16-11-2025 12:40,16-11-2025 12:41,,,,,,BANJARMASIN,BELUM VERIFIKASI
6PVS25000034,PKK.DN.IDBDJ.2511.001477,CAKRAWALA XXI 2023,SARANA MARITIM SEJAHTERA PT,Realization,4338.0,100.58,BANJARMASIN,2025-11-12 22:00,PKK.DN.IDBDJ.2511.001477,SPB.IDBDJ.1125.0001897,CAKRAWALA XXI 2023,2025-11-16T15:00:00.000Z,CAKRAWALA XXI 2023,4338,100.58,PULAU BAKUT,REDE TRISAKTI,SARANA MARITIM SEJAHTERA PT,IDBDJ-PLD-SPK.2511.058075,PKK.DN.IDBDJ.2511.001477,6PVS25000034,CECILIA KUSUMA TANTRI,13-11-2025 22:49,13-11-2025 22:50,,,,,,BANJARMASIN,BELUM VERIFIKASI
CKR125000054,PKK.DN.IDBDJ.2511.001467,CAKRAWALA I,SARANA MARITIM SEJAHTERA PT,Realization,3107.0,91.44,BANJARMASIN,2025-11-12 22:00,nan,,,,CAKRAWALA I,3107,91.44,PULAU BAKUT,REDE TRISAKTI,SARANA MARITIM SEJAHTERA PT,IDBDJ-PLD-SPK.2511.058077,PKK.DN.IDBDJ.2511.001467,CKR125000054,PRAMADONA,13-11-2025 14:43,13-11-2025 14:49,,,,,,BANJARMASIN,BELUM VERIFIKASI
NUDL57000006,PKK.DN.IDSTU.2511.000326,RMN 334,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3100.0,87.78,KOTABARU,2025-11-15 15:55,PKK.DN.IDSTU.2511.000326,SPB.IDSTU.1125.0000418,RMN 334,2025-11-16T15:55:00.000Z,,,,,,,,nan,,,,,,,,,,,
Q9S957000001,PKK.DN.IDSTU.2510.000607,BILAK,PT. TIDAR SAMUDERA RAYA,Realization,5230.0,111.25,KOTABARU,2025-10-28 11:05,nan,,,,BILAK,5230,111.25,STS BUNATI,DERMAGA BORNEO INDOBARA,PT. TIDAR SAMUDERA RAYA,IDSTU-PLD-SPK.2511.015234,PKK.DN.IDSTU.2510.000607,Q9S957000001,ROMOELOES BAMBANG NUGROHO,15-11-2025 12:25,15-11-2025 13:05,,,,,,ZONA SATUI & BUNATI,BELUM VERIFIKASI
C00113000005,PKK.DN.IDGRE.2511.000360,CL 3001,"QUANTA INTI MANDIRI, PT",Realization,3103.0,91.5,TANJUNG PERAK,2025-11-15 16:00,PKK.DN.IDGRE.2511.000360,SPB.IDGRE.1125.0000431,CL 3001,2025-11-17T05:00:00.000Z,CL 3001,3103,91.5,LAUT,AREA REDE DALAM,"QUANTA INTI MANDIRI, PT",IDGRE-PLD-SPK.2511.012990,PKK.DN.IDGRE.2511.000360,C00113000005,ERWAN PEMILUWANTO,17-11-2025 19:00,17-11-2025 19:01,,,,,,ZONA GRESIK,BELUM VERIFIKASI
LATO23000001,PKK.LN.IDBJU.2511.000074,LATOUR,"BARRU SAMUDERA TIMUR, PT",Realization,4319.0,97.0,TANJUNG WANGI,2025-11-25 05:00,PKK.LN.IDBJU.2511.000074,SPB.IDBJU.1125.0000126,LATOUR,2025-11-22T12:00:00.000Z,LATOUR,4319,97,REDE UMUM,DERMAGA UMUM,"BARRU SAMUDERA TIMUR, PT",IDBJU-PLD-SPK.2511.002500,PKK.LN.IDBJU.2511.000074,LATO23000001,ASTUKI,16-11-2025 11:36,16-11-2025 12:42,KT JOYOBOYO I,,,16-11-2025 11:47,16-11-2025 12:47,ZONA TANJUNG WANGI,BELUM VERIFIKASI
TT4625000003,PKK.DN.IDBDJ.2511.001429,TITAN 46,"TRANS POWER MARINE TBK, PT",Realization,3115.0,91.44,BANJARMASIN,2025-11-14 15:00,PKK.DN.IDBDJ.2511.001429,SPB.IDBDJ.1125.0001680,TITAN 46,2025-11-14T15:00:00.000Z,TITAN 46,3115,91.44,PULAU BAKUT,REDE TRISAKTI,"TRANS POWER MARINE TBK, PT",IDBDJ-PLD-SPK.2511.058025,PKK.DN.IDBDJ.2511.001429,TT4625000003,DHANI ARDIANSYAH,13-11-2025 17:37,13-11-2025 17:37,,,,,,BANJARMASIN,BELUM VERIFIKASI
BC2227000759,PKK.DN.IDBOA.2511.001027,BOUNTY CRUISES,"GEDE KADEK BROTHERS, PT",Realization,622.0,44.0,BENOA,2025-11-13 00:00,PKK.DN.IDBOA.2511.001027,SPB.IDBOA.1125.0001167,BOUNTY CRUISES,2025-11-14T00:00:00.000Z,BOUNTY CRUISES,622,44,LAUT,DERMAGA BOUNY CRUISES,"GEDE KADEK BROTHERS, PT",IDBOA-PLD-SPK.2511.002615,PKK.DN.IDBOA.2511.001027,BC2227000759,DESWANTO ARIE PURNOMO,12-11-2025 16:05,12-11-2025 16:06,,,,,,ZONA BENOA,BELUM VERIFIKASI
NAGQ25000128,PKK.DN.IDBDJ.2511.001399,DEWI,"GLOBAL TRANS ENERGY INTERNASIONAL, PT",Realization,3088.0,91.44,BANJARMASIN,2025-11-14 15:00,nan,,,,DEWI,3088,91.44,PULAU BAKUT,REDE TRISAKTI,"GLOBAL TRANS ENERGY INTERNASIONAL, PT",IDBDJ-PLD-SPK.2511.057949,PKK.DN.IDBDJ.2511.001399,NAGQ25000128,ERWIN BUDI HARTO,13-11-2025 11:48,13-11-2025 11:49,,,,,,BANJARMASIN,BELUM VERIFIKASI
B27183000005,PKK.DN.IDSMQ.2511.000236,BAHARI 2711,"PENASCOP MARITIM INDONESIA, PT",Realization,2446.0,82.3,SAMPIT,2025-11-19 15:00,PKK.DN.IDSMQ.2511.000236,SPB.IDSMQ.1125.0000374,BAHARI 2711,2025-11-20T16:00:00.000Z,BAHARI 2711,2446,82.3,LAUT,REDE UMUM,"PENASCOP MARITIM INDONESIA, PT",IDSMQ-PLD-SPK.2511.009606,PKK.DN.IDSMQ.2511.000236,B27183000005,SUBEHAN,13-11-2025 21:25,13-11-2025 22:02,,,,,,ZONA SAMPIT,BELUM VERIFIKASI
GIV725000004,PKK.DN.IDBDJ.2511.001187,CELVIA STAR 15,"BARITO SAMUDRA SEJAHTERA, PT",Realization,4006.0,91.44,BANJARMASIN,2025-11-17 15:00,PKK.DN.IDBDJ.2511.001187,SPB.IDBDJ.1125.0001618,CELVIA STAR 15,2025-11-14T15:00:00.000Z,CELVIA STAR 15,4006,91.44,AMBANG LUAR,REDE TRISAKTI,"BARITO SAMUDRA SEJAHTERA, PT",IDBDJ-PLD-SPK.2511.058162,PKK.DN.IDBDJ.2511.001187,GIV725000004,DODIK ISMAIL,13-11-2025 15:25,13-11-2025 16:25,,,,,,BANJARMASIN,BELUM VERIFIKASI
WA9526000001,PKK.DN.IDCXP.2511.000046,KAPUAS JAYA 3019,"PELAYARAN BAHTERA ADHIGUNA, PT",Realization,3877.0,91.44,TANJUNG INTAN,2025-11-20 02:00,PKK.DN.IDCXP.2511.000046,SPB.IDCXP.1125.0000086,KAPUAS JAYA 3019,2025-11-22T07:00:00.000Z,KAPUAS JAYA 3019,3877,91.44,LAUT,PT. SSP - DERMAGA I,"PELAYARAN BAHTERA ADHIGUNA, PT",IDCXP-PLD-SPK.2511.003157,PKK.DN.IDCXP.2511.000046,WA9526000001,DEDEN,21-11-2025 16:49,21-11-2025 17:45,KT JAYANEGARA 301,,,21-11-2025 16:54,21-11-2025 17:43,TANJUNG INTAN,BELUM VERIFIKASI
R65L13000001,PKK.DN.IDGRE.2511.000332,PRIMA SENTOSA,"PELAYARAN BAHTERA ADHIGUNA (PERSERO), PT",Request PPKB,33044.0,189.99,TANJUNG PERAK,2025-11-13 02:00,PKK.DN.IDGRE.2511.000332,SPB.IDGRE.1125.0000301,PRIMA SENTOSA,2025-11-12T22:00:00.000Z,,,,,,,,nan,,,,,,,,,,,
D7Q657000003,PKK.DN.IDSTU.2507.000085,LIANA LXXIII,PT. AZAZ SHIPS SERVICES,Request PPKB,4362.0,100.58,KOTABARU,2025-07-07 14:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
C94383000004,PKK.DN.IDSMQ.2511.000226,CHAYADI II,"PENASCOP MARITIM INDONESIA, PT",Realization,2550.0,84.12,SAMPIT,2025-11-16 16:00,PKK.DN.IDSMQ.2511.000226,SPB.IDSMQ.1125.0000373,CHAYADI II,2025-11-20T16:00:00.000Z,CHAYADI II,2550,84.12,LAUT,REDE UMUM,"PENASCOP MARITIM INDONESIA, PT",IDSMQ-PLD-SPK.2511.009583,PKK.DN.IDSMQ.2511.000226,C94383000004,FATHURRAHMAN ARIEF,12-11-2025 21:20,12-11-2025 22:02,,,,,,ZONA SAMPIT,BELUM VERIFIKASI
BHS125000022,PKK.DN.IDBDJ.2511.001346,BAHARI SETYA I,SAMUDERA BAHTERA BORNEO,Realization,2207.0,76.25,BANJARMASIN,2025-11-30 07:31,PKK.DN.IDBDJ.2511.001346,SPB.IDBDJ.1125.0002102,BAHARI SETYA I,2025-11-18T15:00:00.000Z,BAHARI SETYA I,2207,76.25,PULAU BAKUT,REDE TRISAKTI,SAMUDERA BAHTERA BORNEO,IDBDJ-PLD-SPK.2511.057882,PKK.DN.IDBDJ.2511.001346,BHS125000022,SUMBONO,15-11-2025 01:20,15-11-2025 01:32,,,,,,BANJARMASIN,BELUM VERIFIKASI
YB7313000001,PKK.DN.IDGRE.2511.000327,BUANA OCEAN 31,"ANUGERAH TIRTA SAMUDRA, PT",Realization,2261.0,76.25,TANJUNG PERAK,2025-11-15 16:00,nan,,,,BUANA OCEAN 31,2261,76.25,LAUT,AREA REDE DALAM,"ANUGERAH TIRTA SAMUDRA, PT",IDGRE-PLD-SPK.2511.012950,PKK.DN.IDGRE.2511.000327,YB7313000001,ERWAN PEMILUWANTO,13-11-2025 18:29,13-11-2025 18:30,,,,,,ZONA GRESIK,BELUM VERIFIKASI
IXZN25000019,PKK.DN.IDBDJ.2511.001338,DUTA PERKASA 2712,"MULTI LINE BORNEO, PT",Request PPKB,2528.0,82.3,BANJARMASIN,2025-11-13 15:55,PKK.DN.IDBDJ.2511.001338,SPB.IDBDJ.1125.0001676,DUTA PERKASA 2712,2025-11-14T15:55:00.000Z,,,,,,,,nan,,,,,,,,,,,
7AX613000001,PKK.LN.IDSUB.2511.000427,MV. ALPHA ETHOS,"GESURI LLOYD, PT",Realization,44069.0,228.0,TANJUNG PERAK,2025-11-21 16:00,PKK.LN.IDSUB.2511.000427,SPB.IDSUB.1125.0000810,MV. ALPHA ETHOS,2025-11-22T00:00:00.000Z,MV. ALPHA ETHOS,44069,228,LAUT,LAMONG CURAH KERING,"GESURI LLOYD, PT",IDSUB-PLD-SPK.2511.028934,PKK.LN.IDSUB.2511.000427,7AX613000001,BANAR HADI SURYANTO,19-11-2025 10:43,19-11-2025 15:07,TB. SEMAR 82,KT.JAYANEGARA 305,,19-11-2025 13:11,19-11-2025 14:55,ZONA SURABAYA,BELUM VERIFIKASI
KSD883000013,PKK.DN.IDSMQ.2511.000216,KSD 08,"PELAYARAN SUMBER PENGHIDUPAN ABADI JAYA, PT",Realization,2430.0,82.3,SAMPIT,2025-11-19 09:00,PKK.DN.IDSMQ.2511.000216,SPB.IDSMQ.1125.0000384,KSD 08,2025-11-21T09:00:00.000Z,KSD 08,2430,82.3,LAUT,REDE UMUM,"PELAYARAN SUMBER PENGHIDUPAN ABADI JAYA, PT",IDSMQ-PLD-SPK.2511.009609,PKK.DN.IDSMQ.2511.000216,KSD883000013,FATHURRAHMAN ARIEF,13-11-2025 21:30,13-11-2025 22:03,,,,,,ZONA SAMPIT,BELUM VERIFIKASI
MDW513000074,PKK.DN.IDSUB.2511.000423,MERATUS PALEMBANG,"MERATUS LINE, PT",Realization,5612.0,117.0,TANJUNG PERAK,2025-11-17 11:00,PKK.DN.IDSUB.2511.000423,SPB.IDSUB.1125.0000850,MERATUS PALEMBANG,2025-11-22T16:55:00.000Z,MERATUS PALEMBANG,5612,117,LAUT,MIRAH SELATAN,"MERATUS LINE, PT",IDSUB-PLD-SPK.2511.028704,PKK.DN.IDSUB.2511.000423,MDW513000074,AGUS PRIHANTORO,16-11-2025 15:39,16-11-2025 18:25,TB. FANNY 26,KRESNA 3116,,16-11-2025 17:25,16-11-2025 18:20,ZONA SURABAYA,BELUM VERIFIKASI
BT1057000018,PKK.DN.IDKBU.2511.000326,BUNGA TERATAI 17,PT. ALWIESTA NIAGA MANDIRI,Realization,1318.0,72.72,KOTABARU,2025-11-18 09:00,PKK.DN.IDKBU.2511.000326,SPB.IDKBU.1125.0000625,BUNGA TERATAI 17,2025-11-23T08:00:00.000Z,BUNGA TERATAI 17,1318,72.72,LAUT,JETTY ITP TARJUN B2,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012185,PKK.DN.IDKBU.2511.000326,BT1057000018,SUPRIANTO,20-11-2025 10:18,20-11-2025 10:45,JAYANEGARA 202,,,20-11-2025 10:14,20-11-2025 10:41,KOTABARU,BELUM VERIFIKASI
ZCJR09000001,PKK.LN.IDSRG.2511.000115,MV. CL HYAKU,"DHARMA MARINE AGENCY, PT",Realization,36343.0,199.98,TANJUNG EMAS,2025-11-22 16:00,PKK.LN.IDSRG.2511.000115,SPB.IDSRG.1125.0000232,MV. CL HYAKU,2025-11-22T00:00:00.000Z,MV. CL HYAKU,36343,199.98,LAUT,SRIBOGA,"DHARMA MARINE AGENCY, PT",IDSRG-PLD-SPK.2511.006844,PKK.LN.IDSRG.2511.000115,ZCJR09000001,CHOLID CHUMAINI F,15-11-2025 10:17,15-11-2025 11:31,KRESNA 315,KT. GALUH 2,,15-11-2025 10:25,15-11-2025 11:25,ZONA SEMARANG,BELUM VERIFIKASI
6S8V25000006,PKK.DN.IDBDJ.2511.001313,SML 3302A,"BARITO SAMUDRA SEJAHTERA, PT",Realization,4239.0,100.58,BANJARMASIN,2025-11-18 15:00,PKK.DN.IDBDJ.2511.001313,SPB.IDBDJ.1125.0002061,SML 3302A,2025-11-17T15:00:00.000Z,SML 3302A,4239,100.58,PULAU BAKUT,REDE TRISAKTI,"BARITO SAMUDRA SEJAHTERA, PT",IDBDJ-PLD-SPK.2511.057795,PKK.DN.IDBDJ.2511.001313,6S8V25000006,DHANI ARDIANSYAH,11-11-2025 19:46,11-11-2025 19:46,,,,,,BANJARMASIN,BELUM VERIFIKASI
AP9909000023,PKK.DN.IDSRG.2511.000116,APURA 099,PT. NAGASAKTI TRANS SEGARA,Realization,3578.0,94.49,TANJUNG EMAS,2025-11-15 16:00,nan,,,,APURA 099,3578,94.49,LAUT,DERMAGA PELABUHAN COASTER/PENUMPANG/NUSANTARA,PT. NAGASAKTI TRANS SEGARA,IDSRG-PLD-SPK.2511.007003,PKK.DN.IDSRG.2511.000116,AP9909000023,DANIEL HUTAHAYAN ,21-11-2025 22:00,21-11-2025 22:56,KT. BIMA 306,,,21-11-2025 22:10,21-11-2025 22:50,ZONA SEMARANG,BELUM VERIFIKASI
BUP657000006,PKK.DN.IDKBU.2511.000208,BUMI PALMA ENAM,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,2666.0,79.25,KOTABARU,2025-11-09 16:20,PKK.DN.IDKBU.2511.000208,SPB.IDKBU.1125.0000419,BUMI PALMA ENAM,2025-11-15T15:30:00.000Z,,,,,,,,nan,,,,,,,,,,,
D6BS13000010,PKK.DN.IDSUB.2511.000416,INDO SUKSES 23,"PULAU WEH, PT",Realization,4183.0,91.44,TANJUNG PERAK,2025-11-23 01:00,PKK.DN.IDSUB.2511.000416,SPB.IDSUB.1125.0000835,INDO SUKSES 23,2025-11-22T16:30:00.000Z,INDO SUKSES 23,4183,91.44,LAUT,ZONA LABUH 6 (AMBANG LUAR),"PULAU WEH, PT",IDSUB-PLD-SPK.2511.028247,PKK.DN.IDSUB.2511.000416,D6BS13000010,IWAN SUSANTO,13-11-2025 12:59,13-11-2025 15:03,,,,,,ZONA SURABAYA,BELUM VERIFIKASI
B2CM25000040,PKK.DN.IDBDJ.2511.001297,CPT 2702,AMANAH MANDIRI SAMUDERA PT,Realization,2214.0,82.96,BANJARMASIN,2025-11-14 22:00,PKK.DN.IDBDJ.2511.001297,SPB.IDBDJ.1125.0002805,CPT 2702,2025-11-23T15:00:00.000Z,CPT 2702,2214,82.96,LAUT,REDE TRISAKTI,AMANAH MANDIRI SAMUDERA PT,IDBDJ-PLD-SPK.2511.058258,PKK.DN.IDBDJ.2511.001297,B2CM25000040,DODIK ISMAIL,15-11-2025 05:25,15-11-2025 09:19,,,,,,BANJARMASIN,BELUM VERIFIKASI
