active,amount,branch_id,created_at,currency_name,description,end_date,id,id_currency,index,judul_ba,kode_kepil,loa_description,location_name,name_branch,start_date,status,timezones,total,total_page,uper_multiplication,url_file
1,950000,17,2024-01-16 12:07,Dollar,"US$. di dermaga, loa 70 > 150",2030-12-31 23:59,1814,2,19,,PNK01,LOA 70 > 150,ICT NUSANTARA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,950000,17,2024-01-16 12:07,Dollar,"US$. di dermaga, loa 70 > 150",2030-12-31 23:59,1817,2,20,,PNK01,LOA 70 > 150,KALIMAS-DERMAGA KLM,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,950000,17,2024-01-16 12:07,Dollar,"US$. di dermaga, loa 70 > 150",2030-12-31 23:59,1813,2,21,,PNK01,LOA 70 > 150,TAMBATAN KALIMAS,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,950000,17,2024-01-16 12:07,Dollar,"US$. di dermaga, loa 70 > 150",2030-12-31 23:59,1815,2,22,,PNK01,LOA 70 > 150,LAMONG CURAH KERING,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,950000,17,2024-01-16 12:07,Dollar,"US$. di dermaga, loa 70 > 150",2030-12-31 23:59,1808,2,23,,PNK01,LOA 70 > 150,KADE PERAK,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1788,1,24,,PNK01,LOA 70 > 150,TPS/ICT OCEAN GOING,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1795,1,25,,PNK01,LOA 70 > 150,KADE PERAK,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1798,1,26,,PNK01,LOA 70 > 150,JAMRUD BARAT,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1797,1,27,,PNK01,LOA 70 > 150,JAMRUD SELATAN,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1796,1,28,,PNK01,LOA 70 > 150,JAMRUD UTARA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1802,1,29,,PNK01,LOA 70 > 150,BERLIAN UTARA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1784,1,30,,PNK01,LOA 70 > 150,TELUK LAMONG - PETIKEMAS DOMESTIK,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1787,1,31,,PNK01,LOA 70 > 150,LAMONG OCEAN GOING,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1801,1,32,,PNK01,LOA 70 > 150,KALI PERAK/NILAM BARAT,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,2230,1,33,,PNK01,LOA 70 > 150,GRVING DOCK/PAL,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1791,1,34,,PNK01,LOA 70 > 150,ICT NUSANTARA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1790,1,35,,PNK01,LOA 70 > 150,TAMBATAN KALIMAS,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1799,1,36,,PNK01,LOA 70 > 150,NILAM TIMUR,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1783,1,37,,PNK01,LOA 70 > 150,KADE INTAN,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1803,1,38,,PNK01,LOA 70 > 150,BERLIAN TIMUR / BEACHING,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1804,1,39,,PNK01,LOA 70 > 150,BERLIAN BARAT,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,2440,1,40,,PNK01,LOA 70 > 150,DERMAGA BERLIAN,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1785,1,41,,PNK01,LOA 70 > 150,MIRAH TIMUR,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
1,475000,17,2024-01-16 12:05,Rupiah,"Rp. di dermaga, loa 70 > 150",2030-12-31 23:59,1782,1,42,,PNK01,LOA 70 > 150,KADE BENOA,REGIONAL 3 TANJUNG PERAK,2024-01-01 00:00,TARIF AKTIF,Asia/Jakarta,438,1,110,
