no_pkk,no_pkk_inaportnet,vessel_name,company_name,name_process_code,gt,loa,name_branch,departure_date
RY9S57000001,PKK.DN.IDSTU.2409.000467,BAIDURI 30368,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3138.0,87.84,KOTABARU,2024-09-17T15:55:00.000Z
S71825000026,,SOEKAWATI 2718,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,2137.0,82.3,BANJARMASIN,2025-09-11T13:00:00.000Z
SO3925000035,,SOEKAWATI 329,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3060.0,91.5,BANJARMASIN,2025-09-11T14:00:00.000Z
SN0357000001,PKK.DN.IDKBU.2509.000323,SEA DRAGON 303,PT. RIANDY FIESTA SAMUDERA,Realization,3142.0,91.44,KOTABARU,2025-09-19T10:32:00.000Z
BAEQ25000775,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Request PPKB,2682.0,83.76,BANJARMASIN,2025-09-24T08:00:00.000Z
BHS425000017,PKK.DN.IDBDJ.2509.001528,BAHARI SETYA IV,"RIMAU BAHTERA SHIPPING, PT",Realization,2207.0,76.25,BANJARMASIN,2025-09-30T10:40:00.000Z
BHS325000023,PKK.DN.IDBDJ.2509.001527,BAHARI SETYA III,"RIMAU BAHTERA SHIPPING, PT",Realization,2207.0,76.25,BANJARMASIN,2025-09-30T10:33:00.000Z
GE5S57000008,PKK.DN.IDSTU.2508.000475,RMN 320,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3142.0,91.44,KOTABARU,2025-08-28T15:55:00.000Z
G30257000001,PKK.DN.IDSTU.2407.000187,GOLD TRANS 3302,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4270.0,100.65,KOTABARU,2024-07-15T15:00:00.000Z
BAEQ25000774,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-09-23T08:00:00.000Z
T3C425000006,PKK.LN.IDBDJ.2509.001512,BG. SAMUDRA MAJU 2,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,3980.0,97.0,BANJARMASIN,2025-09-15T15:00:00.000Z
P6MW83000002,PKK.DN.IDSMQ.2509.000192,SUMBER JAYA 2738,JATARIM BINAU SAMPIT,Request PPKB,2843.0,82.3,SAMPIT,2025-09-20T16:00:00.000Z
PP1825000012,PKK.DN.IDBDJ.2509.001493,SUPPORT 18,PELAYARAN SANLE MAKMUR,Realization,2133.0,79.01,BANJARMASIN,2025-09-30T15:00:00.000Z
PF4T25000029,PKK.DN.IDBDJ.2509.001491,RIMAU 3005,"RIMAU BAHTERA SHIPPING, PT",Realization,3385.0,87.78,BANJARMASIN,2025-09-30T07:06:00.000Z
SX8829000013,PKK.DN.IDKOE.2509.000076,SEROJA XII,"PERTAMINA TRANS KONTINENTAL, PT",Realization,2091.0,89.34,TENAU KUPANG,2025-09-25T07:00:00.000Z
9TJ425000015,,ASIA PERDANA 3003,"ANTARMODA MARITIM NUSANTARA, PT",Realization,3083.0,91.34,BANJARMASIN,2025-09-12T07:25:00.000Z
DZMM25000001,PKK.DN.IDBDJ.2509.001489,MITRA II,"MITRA BAHARI SENTOSA, PT",Request PPKB,1346.0,70.09,BANJARMASIN,2025-09-16T10:00:00.000Z
SMM883000005,PKK.DN.IDSMQ.2509.000187,SAMUDERA MANDIRI 8,"PENASCOP MARITIM INDONESIA, PT",Realization,2194.0,82.3,SAMPIT,2025-09-18T16:00:00.000Z
BAEQ25000773,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-09-22T08:00:00.000Z
BC2227000705,,BOUNTY CRUISES,"GEDE KADEK BROTHERS, PT",Realization,622.0,44.0,BENOA,2025-09-12T10:00:00.000Z
PE8G25000008,PKK.DN.IDBDJ.2509.001470,PEGASUS 8,"BARITO SAMUDRA SEJAHTERA, PT",Realization,3082.0,91.44,BANJARMASIN,2025-09-18T15:00:00.000Z
SSGZ25000142,,BAKAU,"TERA LOGISTIC INDONESIA, PT",Realization,4408.0,105.16,BANJARMASIN,2025-09-11T10:00:00.000Z
IKFJ25000135,,MJL 306,"TERA LOGISTIC INDONESIA, PT",Realization,3447.0,91.44,BANJARMASIN,2025-09-11T10:00:00.000Z
4MPE25000132,,MBP 1505,"TERA LOGISTIC INDONESIA, PT",Realization,7295.0,114.0,BANJARMASIN,2025-09-11T10:00:00.000Z
ML2225000005,PKK.DN.IDBDJ.2509.001460,MUTIA LADJONI,"RIANDY FIESTA SAMUDERA, PT",Request PPKB,1721.0,71.9,BANJARMASIN,2025-09-17T02:59:00.000Z
I72Q83000002,PKK.DN.IDSMQ.2509.000179,ZULKIFLI 08,"PELAYARAN SUMBER PENGHIDUPAN ABADI JAYA, PT",Realization,2013.0,76.2,SAMPIT,2025-09-18T09:00:00.000Z
IS2825000002,,INDO SUKSES 28,"ANTARMODA MARITIM NUSANTARA, PT",Realization,4047.0,91.45,BANJARMASIN,2025-09-12T03:05:00.000Z
8JCE26000007,PKK.DN.IDCXP.2509.000045,ANDHIKA SHAKILLA,"TRIDAYA MUTIARA SAMUDERA, PT",Realization,31255.0,189.99,TANJUNG INTAN,2025-09-18T09:00:00.000Z
M2RY83000010,PKK.DN.IDSMQ.2509.000176,MARINE JAYA II,MENTAYA AGUNG PERKASA. PT,Realization,2925.0,82.35,SAMPIT,2025-09-17T13:00:00.000Z
TW9423000003,PKK.DN.IDBJU.2509.000061,SENTOSA JAYA 388,"DJAKARTA LLOYD (PERSERO), PT",Request PPKB,2294.0,77.77,TANJUNG WANGI,2025-09-27T00:00:00.000Z
MF0923000004,PKK.DN.IDBJU.2509.000060,MOCHTARPRABU MANGKUNEGARA,"DJAKARTA LLOYD (PERSERO), PT",Realization,7497.0,115.7,TANJUNG WANGI,2025-09-27T00:00:00.000Z
QQVQ83000001,PKK.DN.IDSMQ.2406.000029,WIRAKO,"SUMBER KAPUAS NUSANTARA, PT",Request PPKB,762.0,54.88,SAMPIT,2024-06-20T14:00:00.000Z
XHTP57000002,PKK.LN.IDKBU.2509.000144,MV  CYGNUS,PT. RIANDY FIESTA SAMUDERA,Request PPKB,29105.0,182.98,KOTABARU,2025-09-10T09:13:00.000Z
BAEQ25000772,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-09-21T08:00:00.000Z
BAEQ25000771,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-09-20T08:00:00.000Z
8AIN25000095,,PEC 856,"TERA LOGISTIC INDONESIA, PT",Realization,3890.0,98.26,BANJARMASIN,2025-09-10T22:00:00.000Z
IN0957000002,PKK.DN.IDSTU.2509.000206,INDOTRANS 3009,"ANTARMODA MARITIM NUSANTARA, PT",Realization,3071.0,91.5,KOTABARU,2025-09-13T15:00:00.000Z
WNYC25000020,,RMN 387,"KARTIKA SAMUDRA ADIJAYA, PT",Realization,3142.0,87.78,BANJARMASIN,2025-09-10T21:00:00.000Z
EAAD57000003,PKK.DN.IDKBU.2509.000142,SLM SELENE 2,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,2115.0,90.4,KOTABARU,2025-09-12T09:00:00.000Z
272S60000002,PKK.DN.IDCEB.2509.000023,SUMIEI,"RABER MITRA AGENCY, PT",Realization,2003.0,89.52,CELUKAN BAWANG,2025-09-21T09:00:00.000Z
BW0Y25000120,,MBP 1513,"TERA LOGISTIC INDONESIA, PT",Realization,6609.0,120.0,BANJARMASIN,2025-09-10T11:00:00.000Z
9IID25000027,,LUMOSO SELAMAT,"TANTO INTIM LINE - PELNUS, PT",Request PPKB,3668.0,106.68,BANJARMASIN,2025-09-08T01:00:00.000Z
BC2227000704,,BOUNTY CRUISES,"GEDE KADEK BROTHERS, PT",Realization,622.0,44.0,BENOA,2025-09-11T10:00:00.000Z
TKSA09000002,PKK.DN.IDSRG.2509.000132,SAMUDERA JAYA 3001,PT. NAGASAKTI TRANS SEGARA,Realization,3551.0,91.44,TANJUNG EMAS,2025-09-14T16:00:00.000Z
KU0029000005,PKK.DN.IDKOE.2509.000069,KALIMAS UTAMA,"BAHTERA LOGISTIK NUSANTARA, PT",Realization,526.0,49.95,TENAU KUPANG,2025-09-14T15:55:00.000Z
RLU057000037,PKK.DN.IDKBU.2509.000084,FOTB 01,PT. TERA LOGISTIC INDONESIA,Request PPKB,3055.0,84.75,KOTABARU,2025-09-05T04:00:00.000Z
ELER25000007,PKK.DN.IDBDJ.2509.001355,ELEANOR,"BERKAH BATU ANTING, PT",Realization,3245.0,87.78,BANJARMASIN,2025-09-12T15:00:00.000Z
K27583000014,PKK.DN.IDSMQ.2509.000166,KAPUAS 275,"LILIANA PRATIWI INDONESIA, PT",Realization,2200.0,82.3,SAMPIT,2025-09-15T03:00:00.000Z
TSX683000005,PKK.DN.IDSMQ.2509.000165,TIRTA SAMUDRA XXX,"SEROJA JAYA AGENSI, PT",Realization,2223.0,87.26,SAMPIT,2025-09-26T13:00:00.000Z
HHKX57000005,PKK.DN.IDKBU.2509.000061,JOAQUINO ELIEZER,PT. KEMBANG JAYA ABADI PERKASA,Request PPKB,5997.0,125.55,KOTABARU,2025-09-07T23:29:00.000Z
STR225000005,,SATRIA 2401,"MULTI LINE BORNEO, PT",Realization,1818.0,73.15,BANJARMASIN,2025-09-11T15:00:00.000Z
BR4409000002,PKK.DN.IDSRG.2507.000341,BARUNA RAYA,"BARRA ASEAN SHIPPING, PT",Request PPKB,2920.0,98.6,TANJUNG EMAS,2025-08-07T13:00:00.000Z
FR3957000007,PKK.DN.IDSTU.2509.000189,FITRIA 3009,PT. PERUSAHAAN PELAYARAN GURITA LINTAS LINTAS SAMUDERA,Realization,3142.0,87.78,KOTABARU,2025-09-13T15:55:00.000Z
T06909000026,PKK.DN.IDSRG.2509.000125,TIMUR LAUT MAS 2,MODA INDONESIA AGENCY. PT,Realization,2543.0,89.95,TANJUNG EMAS,2025-09-12T17:00:00.000Z
454K57000028,PKK.DN.IDKBU.2509.000270,KM.SML9,PT. ARGHANIAGA PANCATUNGGAL,Realization,1158.0,67.06,KOTABARU,2025-09-14T09:00:00.000Z
HE5Z83000010,PKK.DN.IDSMQ.2509.000154,BUKIT EMAS 2308,"PELAYARAN ANDHARA ADHYA JAYA, PT",Realization,1432.0,70.09,SAMPIT,2025-09-17T09:00:00.000Z
V2NK57000015,PKK.DN.IDSTU.2509.000183,ROBBY 372,PT SENADA SEA ANUGERAH,Realization,3197.0,91.5,KOTABARU,2025-09-15T15:55:00.000Z
W70525000030,PKK.DN.IDBDJ.2509.001308,WALRUS 2705,ENERGI SAMUDRA LOGISTICS PT,Realization,2098.0,82.3,BANJARMASIN,2025-09-13T15:00:00.000Z
JO9F25000002,PKK.DN.IDBDJ.2509.001299,SEGARA SUMATERA,"GAYATRI SAMUDERA MANDIRI, PT",Realization,2997.0,98.5,BANJARMASIN,2025-09-17T00:31:00.000Z
W70325000031,PKK.DN.IDBDJ.2509.001287,WALRUS 2703,ENERGI SAMUDRA LOGISTICS PT,Realization,2118.0,82.3,BANJARMASIN,2025-09-12T15:00:00.000Z
RL7725000024,,REZEKI LAUTAN 717,"ANTARMODA MARITIM NUSANTARA, PT",Realization,3420.0,91.44,BANJARMASIN,2025-09-10T16:19:00.000Z
I3G709000001,PKK.DN.IDSRG.2509.000122,WARNA SARI VI,"DWI KHARISMA JAYA BAHARI, PT",Realization,1838.0,73.15,TANJUNG EMAS,2025-09-22T00:00:00.000Z
GO3074000003,,GOLD TRANS 3003,"TRANS POWER MARINE TBK, PT",Realization,3157.0,87.84,KUMAI,2025-09-16T16:00:00.000Z
BTKX57000013,PKK.DN.IDSTU.2509.000168,ROBBY 371,PT SENADA SEA ANUGERAH,Realization,3197.0,91.5,KOTABARU,2025-09-15T15:55:00.000Z
AF4231000288,PKK.DN.IDLBR.2509.000061,MUTIARA BARAT,"ATOSIM LAMPUNG PELAYARAN, PT",Realization,19232.0,166.0,LEMBAR,2025-09-10T09:00:00.000Z
214U09000001,PKK.DN.IDSRG.2509.000119,SPA 27002,PT. NAGASAKTI TRANS SEGARA,Realization,2091.0,82.3,TANJUNG EMAS,2025-09-12T16:00:00.000Z
8W3957000001,PKK.DN.IDKBU.2509.000233,SAHABAT SENTOSA,"BERKAH SALSABILL SAIJAAN, PT	",Request PPKB,4769.0,98.5,KOTABARU,2025-09-14T10:00:00.000Z
FM6P25000138,,MBP 1522,"TERA LOGISTIC INDONESIA, PT",Realization,7874.0,120.0,BANJARMASIN,2025-09-09T13:00:00.000Z
DA4A25000013,,RMN 3345,"TERA LOGISTIC INDONESIA, PT",Realization,4395.0,100.5,BANJARMASIN,2025-09-09T10:00:00.000Z
M50225000011,,MBP 1502,"TERA LOGISTIC INDONESIA, PT",Realization,7295.0,114.0,BANJARMASIN,2025-09-09T10:00:00.000Z
PPCC25000005,,PACIFIC 3019,MEGA BAHTERA KENCANA PT,Realization,3272.0,91.44,BANJARMASIN,2025-09-09T18:00:00.000Z
BNJO25000139,,BELINJO,"TERA LOGISTIC INDONESIA, PT",Realization,4408.0,105.16,BANJARMASIN,2025-09-09T08:00:00.000Z
T05083000009,PKK.DN.IDSMQ.2509.000142,TIRTA SAMUDRA XXIX,"SEROJA JAYA AGENSI, PT",Realization,2217.0,87.26,SAMPIT,2025-09-25T16:00:00.000Z
AA0074000002,,ANUGRAH AGUNG,"MEGAN SAMUDRA JAYA, PT",Realization,1150.0,70.9,KUMAI,2025-09-20T16:00:00.000Z
BC2227000703,,BOUNTY CRUISES,"GEDE KADEK BROTHERS, PT",Realization,622.0,44.0,BENOA,2025-09-10T10:00:00.000Z
PM2325000011,PKK.DN.IDBDJ.2509.001212,PRIMA 23,"MULTI LINE BORNEO, PT",Request PPKB,3145.0,91.44,BANJARMASIN,2025-09-13T15:55:00.000Z
YM9W25000006,PKK.DN.IDBDJ.2509.001215,MASPAPUA 10,"ADYA TRIAMARGA, PT",Realization,2808.0,82.35,BANJARMASIN,2025-09-13T15:00:00.000Z
W3RO74000001,,AMAZING GRACE 87,"SALAM SAMUDRA ENERGI, PT",Realization,1598.0,79.52,KUMAI,2025-09-17T11:58:00.000Z
BC7J25000001,PKK.DN.IDBDJ.2509.001190,MBS 272,"MITRA BAHARI SENTOSA, PT",Realization,2144.0,82.3,BANJARMASIN,2025-09-15T12:00:00.000Z
YFEB57000039,PKK.DN.IDKBU.2509.000219,SAMUDRA SINDO  88,PT. SPECTRA TIRTASEGARA LINES,Realization,2770.0,76.2,KOTABARU,2025-09-15T14:00:00.000Z
AKR557000052,PKK.DN.IDKBU.2509.000216,AKRA 50,PT. SPECTRA TIRTASEGARA LINES,Realization,2601.0,79.25,KOTABARU,2025-09-15T10:00:00.000Z
82U326000004,PKK.DN.IDCXP.2508.000109,ELIZABETH 1,"PERTAMINA TRANS KONTINENTAL, PT",Request PPKB,1734.0,78.34,TANJUNG INTAN,2025-09-01T16:00:00.000Z
AKKG57000002,PKK.DN.IDSTU.2509.000117,ARK GARNET,PT. AZAZ SHIPS SERVICES,Request PPKB,3065.0,91.5,KOTABARU,2025-09-10T13:15:00.000Z
BUP657000004,PKK.DN.IDKBU.2509.000173,BUMI PALMA ENAM,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,2666.0,79.25,KOTABARU,2025-09-11T15:00:00.000Z
D9KO57000026,PKK.DN.IDKBU.2509.000161,BUNG TOMO,PT. TIDAR SAMUDERA RAYA,Request PPKB,1257.0,63.0,KOTABARU,2025-09-11T15:00:00.000Z
D5J225000115,PKK.DN.IDBDJ.2509.001127,MBP 1203,"TERA LOGISTIC INDONESIA, PT",Realization,5340.0,111.25,BANJARMASIN,2025-09-11T15:00:00.000Z
M33625000004,PKK.DN.IDBDJ.2509.001120,MARINE POWER 3063,"ANTARMODA MARITIM NUSANTARA, PT",Realization,3349.0,91.44,BANJARMASIN,2025-09-16T10:59:00.000Z
I8EJ25000017,,LMN 313,PT Immanu Sukses Bersama,Realization,3341.0,91.5,BANJARMASIN,2025-09-08T17:00:00.000Z
BGAS25000006,PKK.LN.IDBDJ.2509.001110,BG ANGELUS,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,4319.0,97.0,BANJARMASIN,2025-09-12T15:00:00.000Z
TG1225000013,PKK.DN.IDBDJ.2509.001096,TGH 2521,PELAYARAN SANLE MAKMUR,Realization,2212.0,76.25,BANJARMASIN,2025-09-30T15:00:00.000Z
X37X25000017,PKK.DN.IDBDJ.2509.001092,PRIMA 15,"MULTI LINE BORNEO, PT",Request PPKB,3145.0,91.44,BANJARMASIN,2025-09-12T15:55:00.000Z
0NX025000001,PKK.DN.IDBDJ.2509.001081,MARINABAY 101,"PERUSAHAAN PELAYARAN RUSIANTO BERSAUDARA, PT",Realization,2169.0,82.3,BANJARMASIN,2025-09-12T15:00:00.000Z
BHS225000020,PKK.DN.IDBDJ.2509.001078,BAHARI SETYA VII,"RIMAU BAHTERA SHIPPING, PT",Realization,2207.0,76.25,BANJARMASIN,2025-09-30T08:09:00.000Z
TARX57000001,PKK.LN.IDKBU.2508.000757,MV. KM MT.JADE,PT. RIANDY FIESTA SAMUDERA,Request PPKB,42707.0,224.9,KOTABARU,2025-09-01T02:40:00.000Z
1M0R09000005,PKK.DN.IDSRG.2509.000106,RONMAS JAYA 3,"BAHTERA SETIA, PT",Request PPKB,1418.0,70.09,TANJUNG EMAS,2025-09-25T02:00:00.000Z
D4FJ57000009,PKK.DN.IDKBU.2508.000730,SAMUDRA SAKTI VIII,PT. PERTAMINA TRANS KONTINENTAL,Request PPKB,7064.0,121.4,KOTABARU,2025-09-02T15:00:00.000Z
SL2825000022,PKK.DN.IDBDJ.2509.001063,SATRIA LAUT 3028,"BARITO SAMUDRA SEJAHTERA, PT",Realization,3031.0,91.5,BANJARMASIN,2025-09-15T15:00:00.000Z
VBGS25000015,PKK.DN.IDBDJ.2509.001061,BUANA NUSANTARA 4,"MULTI LINE BORNEO, PT",Realization,1844.0,73.15,BANJARMASIN,2025-09-12T15:55:00.000Z
K00023000018,PKK.DN.IDBJU.2509.000048,KSU 01,"DJAKARTA LLOYD (PERSERO), PT",Realization,2160.0,88.28,TANJUNG WANGI,2025-09-20T00:00:00.000Z
TSX083000008,PKK.DN.IDSMQ.2509.000124,TIRTA SAMUDRA XXVI,"SEROJA JAYA AGENSI, PT",Realization,2217.0,87.26,SAMPIT,2025-09-23T13:00:00.000Z
NL8409000001,PKK.DN.IDSRG.2509.000101,NELLY 84,PT. NAGASAKTI TRANS SEGARA,Realization,3271.0,91.44,TANJUNG EMAS,2025-09-10T16:00:00.000Z
PRBS57000004,,KRI PULAU RAAS 722,TNI ANGKATAN LAUT,Request PPKB,550.0,45.0,KOTABARU,2025-09-08T14:00:00.000Z
BC2227000702,,BOUNTY CRUISES,"GEDE KADEK BROTHERS, PT",Realization,622.0,44.0,BENOA,2025-09-09T10:00:00.000Z
VIMC09000001,PKK.LN.IDSRG.2308.000298,KINGKONG,"YALA SAMUDERA ABADI, PT",Request PPKB,1342.0,56.0,TANJUNG EMAS,2025-12-31T16:00:50.000Z
BC2227000701,,BOUNTY CRUISES,"GEDE KADEK BROTHERS, PT",Realization,622.0,44.0,BENOA,2025-09-09T10:00:00.000Z
Y07U57000001,PKK.DN.IDSTU.2508.000544,GOLD TRANS 3309,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4362.0,100.58,KOTABARU,2025-08-26T15:00:00.000Z
36SI57000006,PKK.DN.IDSTU.2508.000198,RMN 342 J,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3137.0,91.52,KOTABARU,2025-08-15T15:55:00.000Z
GT3557000001,PKK.DN.IDSTU.2409.000498,GOLD TRANS 3305,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4270.0,100.65,KOTABARU,2024-09-23T15:00:00.000Z
AH1125000008,,AMANAH 11,"SAFARI SAMUDERA RAYA, PT",Realization,3245.0,91.44,BANJARMASIN,2025-09-09T10:00:00.000Z
KN8025000002,PKK.DN.IDBDJ.2509.000988,KARYA NUSANTARA 88,"UNAQU BORNEO JAYA, PT",Realization,1467.0,74.92,BANJARMASIN,2025-09-12T12:00:00.000Z
I1F126000001,PKK.DN.IDCXP.2509.000031,PRIMA SEJAHTERA,"PELAYARAN BAHTERA ADHIGUNA, PT",Realization,31261.0,189.99,TANJUNG INTAN,2025-09-11T00:00:00.000Z
ZC9O25000017,PKK.DN.IDBDJ.2509.000968,TGH 2502,PELAYARAN SANLE MAKMUR,Realization,2211.0,73.2,BANJARMASIN,2025-09-30T15:00:00.000Z
MJL825000128,,MJL 332,"TERA LOGISTIC INDONESIA, PT",Realization,4332.0,100.58,BANJARMASIN,2025-09-07T19:00:00.000Z
LNH325000032,PKK.DN.IDBDJ.2509.000950,SEA HORSE 03,"MULTI LINE BORNEO, PT",Realization,2102.0,82.3,BANJARMASIN,2025-09-11T15:55:00.000Z
BM2225000003,,BINA MARINE 22,PT Immanu Sukses Bersama,Realization,1873.0,73.15,BANJARMASIN,2025-09-07T17:00:00.000Z
GL0825000005,PKK.DN.IDBDJ.2509.000937,GLORY 08,SAMUDERA BAHTERA BORNEO,Realization,3270.0,91.44,BANJARMASIN,2025-09-30T10:34:00.000Z
W69G83000020,PKK.DN.IDSMQ.2509.000120,GAS KUMAI,PELAYARAN USAHAGAS ELPINDO.PT,Realization,3722.0,99.92,SAMPIT,2025-09-26T14:00:00.000Z
JY2725000002,PKK.DN.IDBDJ.2509.000883,SENTOSA JAYA 2707,"MAHAR SAMUDRA TRANSINDO, PT",Realization,2074.0,82.3,BANJARMASIN,2025-09-13T15:00:00.000Z
SMG125000034,PKK.DN.IDBDJ.2509.000865,SUMANGGALA 1,"INDO DHARMA TRANSPORT, PT",Realization,3223.0,91.5,BANJARMASIN,2025-09-09T06:05:00.000Z
PE3025000013,PKK.DN.IDBDJ.2509.000869,PERMAISURI 3030,"INDO DHARMA TRANSPORT, PT",Realization,3107.0,91.44,BANJARMASIN,2025-09-09T06:43:00.000Z
S27825000019,,SUMBER JAYA 2728,"MULTI LINE BORNEO, PT",Realization,2495.0,82.3,BANJARMASIN,2025-09-09T15:00:00.000Z
BRO125000034,PKK.DN.IDBDJ.2509.000835,BORNEO 3001,"INDO DHARMA TRANSPORT, PT",Realization,3153.0,91.5,BANJARMASIN,2025-09-09T03:28:00.000Z
T28I57000011,PKK.DN.IDSTU.2509.000064,ARK DIAMOND,PT. AZAZ SHIPS SERVICES,Request PPKB,3085.0,91.4,KOTABARU,2025-09-04T03:00:00.000Z
BC2227000700,,BOUNTY CRUISES,"GEDE KADEK BROTHERS, PT",Realization,622.0,44.0,BENOA,2025-09-08T10:00:00.000Z
P85125000071,,PEC 851,"TERA LOGISTIC INDONESIA, PT",Realization,3890.0,98.26,BANJARMASIN,2025-09-07T02:00:00.000Z
R25025000021,PKK.DN.IDBDJ.2509.000820,RICKY 250 9,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,2201.0,76.2,BANJARMASIN,2025-09-10T15:00:00.000Z
CU0157000006,PKK.DN.IDKBU.2509.000170,ANDIFA PERKASA 06,PT. AZAZ SHIPS SERVICES,Realization,2571.0,86.87,KOTABARU,2025-09-06T16:00:00.000Z
K4PM83000001,PKK.DN.IDSMQ.2509.000106,ASINDO 010,"RIZQI SAMUDERA INDONESIA, PT",Realization,2157.0,82.3,SAMPIT,2025-09-20T14:00:00.000Z
MH1N25000089,,RMN 3316,"TERA LOGISTIC INDONESIA, PT",Realization,4338.0,100.58,BANJARMASIN,2025-09-07T00:00:00.000Z
8QNS25000003,,BUMI PALMA TIGA,"ANTARMODA MARITIM NUSANTARA, PT",Realization,2840.0,91.44,BANJARMASIN,2025-09-07T11:42:00.000Z
A98957000003,PKK.DN.IDSTU.2509.000111,ANT 98 2019,PT. LEMA SAMUDERA RAYA,Realization,3106.0,91.4,KOTABARU,2025-09-09T15:55:00.000Z
PR2625000031,PKK.DN.IDBDJ.2509.000777,PRIMA 26,"MULTI LINE BORNEO, PT",Request PPKB,3145.0,91.44,BANJARMASIN,2025-09-09T15:55:00.000Z
TSX283000006,PKK.DN.IDSMQ.2509.000103,TIRTA SAMUDRA XXXVIII,"SEROJA JAYA AGENSI, PT",Realization,2881.0,99.25,SAMPIT,2025-09-20T16:00:00.000Z
1OOL25000001,PKK.LN.IDBDJ.2509.000750,BG MASSIVE 2,SAMUDERA AGENCIES INDONESIA PT,Realization,3893.0,103.0,BANJARMASIN,2025-09-15T15:00:00.000Z
BC2227000699,,BOUNTY CRUISES,"GEDE KADEK BROTHERS, PT",Realization,622.0,44.0,BENOA,2025-09-07T10:00:00.000Z
JV1125000003,PKK.DN.IDBDJ.2509.000710,JAMBO VI,"MASADA JAYA LINES, PT",Realization,841.0,69.0,BANJARMASIN,2025-09-27T15:00:00.000Z
DYO825000041,PKK.DN.IDBDJ.2509.000707,TBS 3301,"RIMAU BAHTERA SHIPPING, PT",Realization,4164.0,100.58,BANJARMASIN,2025-09-30T04:03:00.000Z
JYIQ83000007,PKK.DN.IDSMQ.2509.000097,SUNGAI ARUT,"SAMUDERA ISWARA PERKASA, PT",Realization,812.0,54.86,SAMPIT,2025-09-13T16:00:00.000Z
ALMK57000007,PKK.DN.IDSTU.2509.000059,ALMAK,PT. AZAZ SHIPS SERVICES,Request PPKB,3103.0,91.44,KOTABARU,2025-09-04T02:00:00.000Z
VS3125000031,PKK.DN.IDBDJ.2509.000632,VIRGO SEJATI 331,"VIRGO SAMUDERA JAYA, PT",Realization,3938.0,100.58,BANJARMASIN,2025-09-06T00:00:00.000Z
SM0925000005,PKK.DN.IDBDJ.2509.000612,STAR MARINE 3029,"PERUSAHAAN PELAYARAN TONASA LINES, PT",Realization,3065.0,91.44,BANJARMASIN,2025-09-07T15:00:00.000Z
M4CW25000016,,TRT - 04,"TANJUNG RAYA PLYWOOD, PT",Request PPKB,631.0,54.86,BANJARMASIN,2025-05-21T09:00:00.000Z
BC2227000698,,BOUNTY CRUISES,"GEDE KADEK BROTHERS, PT",Realization,622.0,44.0,BENOA,2025-09-06T10:00:00.000Z
93L509000001,PKK.DN.IDSRG.2509.000072,JET LINER,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,4563.0,95.0,TANJUNG EMAS,2025-10-03T15:00:00.000Z
TB0026000003,PKK.DN.IDCXP.2508.000103,TRANSKO BIMA,"PERTAMINA TRANS KONTINENTAL, PT",Realization,3633.0,101.9,TANJUNG INTAN,2025-08-30T22:00:00.000Z
XBTX83000001,PKK.DN.IDSMQ.2409.000177,KLI18,"PELAYARAN INTI INTERNATIONAL, PT",Realization,665.0,45.77,SAMPIT,2024-09-15T08:00:00.000Z
4JAW83000001,PKK.DN.IDSMQ.2409.000391,KLI17,"PELAYARAN INTI INTERNATIONAL, PT",Realization,522.0,45.75,SAMPIT,2024-09-30T10:00:00.000Z
LCXT83000001,PKK.DN.IDSMQ.2410.000031,HENRISON7,"PELAYARAN INTI INTERNATIONAL, PT",Realization,620.0,52.7,SAMPIT,2024-10-05T05:00:00.000Z
3SJE83000001,PKK.DN.IDSMQ.2411.000112,G.S 5,"PELAYARAN INTI INTERNATIONAL, PT",Realization,646.0,52.67,SAMPIT,2024-11-20T00:00:00.000Z
NXY757000001,PKK.LN.IDKBU.2508.000756,MV. TAI KEENNESS,PT. SERASI SHIPPING INDONESIA,Request PPKB,43324.0,228.99,KOTABARU,2025-09-05T04:00:00.000Z
S70883000002,PKK.DN.IDSMQ.2509.000076,SUMBER JAYA 2522,JATARIM BINAU SAMPIT,Realization,2125.0,76.2,SAMPIT,2025-09-10T16:00:00.000Z
