no_pkk,no_pkk_inaportnet,vessel_name,company_name,name_process_code,gt,loa,name_branch,departure_date
CVQS57000001,PKK.DN.IDSTU.2501.000235,RALINE 10,PT. BATULICIN NUSANTARA MARITIM Tbk,Request PPKB,4179.0,100.58,KOTABARU,2028-01-04T12:03:00.000Z
7L4G25000121,PKK.DN.IDBDJ.2509.003021,TUNJUNG MADYA 4,"GLOBAL TRANS ENERGY INTERNASIONAL, PT",Request PPKB,3442.0,91.44,BANJARMASIN,2025-09-24T15:00:00.000Z
L2W826000002,PKK.DN.IDCXP.2509.000103,HABCO PYXIS,"PELAYARAN BAHTERA ADHIGUNA, PT",Request PPKB,23426.0,180.0,TANJUNG INTAN,2025-09-28T00:00:00.000Z
P05825000010,PKK.DN.IDBDJ.2509.003018,PEKAN SAMPIT,"SALAM PACIFIC INDONESIA LINES, PT",Request PPKB,4048.0,97.54,BANJARMASIN,2025-09-25T05:00:00.000Z
R3A383000015,PKK.DN.IDSMQ.2509.000391,LUMINOR 3,MENTAYA AGUNG PERKASA. PT,Request PPKB,2406.0,80.7,SAMPIT,2025-09-25T13:00:00.000Z
262K74000079,PKK.DN.IDKUM.2509.000133,KIRANA,"DHARMA LAUTAN UTAMA, PT",Request PPKB,5299.0,105.78,KUMAI,2025-09-24T15:00:00.000Z
VW6H83000009,PKK.DN.IDSMQ.2509.000389,SM KENCANA 228,"BAROKAH TITIAN JAYA, PT",Request PPKB,2927.0,82.3,SAMPIT,2025-09-26T10:00:00.000Z
R6SZ25000120,PKK.DN.IDBDJ.2509.003017,ISA 3303,"TERA LOGISTIC INDONESIA, PT",Request PPKB,4356.0,100.58,BANJARMASIN,2025-09-23T15:00:00.000Z
PK8A57000025,PKK.DN.IDKBU.2509.000667,LIANA XXX,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,1265.0,54.86,KOTABARU,2025-09-24T02:00:00.000Z
GV0057000035,PKK.DN.IDKBU.2509.000666,GONAYA VIII,PT. MASADA JAYA LINES,Request PPKB,3338.0,94.6,KOTABARU,2025-09-25T15:45:00.000Z
TRBH74000006,PKK.DN.IDKUM.2509.000132,TRIBAHARI I,"DELANG MAKMUR JAYA, PT",Request PPKB,4866.0,100.58,KUMAI,2025-10-02T10:00:00.000Z
2UCM25000096,PKK.DN.IDBDJ.2509.003015,PULAU TIGA 3456,"SAGA MAS LESTARI, PT",Request PPKB,4408.0,105.16,BANJARMASIN,2025-09-24T09:00:00.000Z
000L27000012,PKK.DN.IDBOA.2509.002505,LAWIT,"PELAYARAN NASIONAL INDONESIA, PT",Request PPKB,6022.0,99.8,BENOA,2025-09-23T17:00:00.000Z
000P83000010,PKK.DN.IDSMQ.2509.000387,PANDAN,PT PERTAMINA TRANS KONTINENTAL,Request PPKB,1487.0,66.0,SAMPIT,2025-09-24T13:00:00.000Z
EF9E25000048,PKK.DN.IDBDJ.2509.003012,RIMAU 3019,"RIMAU BAHTERA SHIPPING, PT",Request PPKB,3346.0,91.44,BANJARMASIN,2025-09-30T01:52:00.000Z
8AIN25000096,PKK.DN.IDBDJ.2509.003007,PEC 856,"TERA LOGISTIC INDONESIA, PT",Request PPKB,3890.0,98.26,BANJARMASIN,2025-09-23T15:00:00.000Z
B2CM25000037,PKK.DN.IDBDJ.2509.002903,CPT 2702,PT Mega Jaya Energy Borneo,Request PPKB,2214.0,82.96,BANJARMASIN,2025-09-24T04:00:00.000Z
YZ2C60000001,PKK.DN.IDCEB.2509.000046,PB TCP 3307,"BARUNA YOVI UTAMA, PT",Request PPKB,4440.0,100.58,CELUKAN BAWANG,2025-09-24T10:00:00.000Z
FULI60000012,PKK.DN.IDCEB.2509.000044,FULIA,"BARUNA YOVI UTAMA, PT",Realization,4257.0,100.95,CELUKAN BAWANG,2025-09-24T10:00:00.000Z
MFI031000018,PKK.DN.IDLBR.2509.000160,MUTIARA FERINDO II,"ATOSIM LAMPUNG PELAYARAN, PT",Request PPKB,18330.0,166.0,LEMBAR,2025-09-23T23:00:00.000Z
BATK25000140,PKK.DN.IDBDJ.2509.002984,BATOK,"TERA LOGISTIC INDONESIA, PT",Request PPKB,4408.0,105.16,BANJARMASIN,2025-09-25T15:00:00.000Z
4F8125000014,PKK.DN.IDBDJ.2509.002995,DELTA 253,"MITRA BAHARI SENTOSA, PT",Request PPKB,1947.0,76.2,BANJARMASIN,2025-09-29T10:00:00.000Z
LYL225000004,PKK.DN.IDBDJ.2509.002993,ROBBY 206,"PERUSAHAAN PELAYARAN RUSIANTO BERSAUDARA, PT",Request PPKB,2098.0,82.3,BANJARMASIN,2025-09-26T15:00:00.000Z
MS1825000090,PKK.DN.IDBDJ.2509.002991,MASADA 18,"TERA LOGISTIC INDONESIA, PT",Request PPKB,3357.0,87.84,BANJARMASIN,2025-09-26T15:00:00.000Z
HXUH25000351,PKK.DN.IDBDJ.2509.002989,DHARMA KARTIKA II,"DHARMA LAUTAN UTAMA, PT",Request PPKB,20876.0,153.0,BANJARMASIN,2025-09-23T22:00:00.000Z
BW0Y25000122,PKK.DN.IDBDJ.2509.002988,MBP 1513,"TERA LOGISTIC INDONESIA, PT",Request PPKB,6609.0,120.0,BANJARMASIN,2025-09-26T15:00:00.000Z
GCRA25000006,PKK.LN.IDBDJ.2509.002985,BG GRACIA,"ANUGERAH MAHADAYA NUSANTARA, PT",Request PPKB,4319.0,97.0,BANJARMASIN,2025-09-25T15:00:00.000Z
MJL925000131,PKK.DN.IDBDJ.2509.002982,MJL 333,"TERA LOGISTIC INDONESIA, PT",Request PPKB,4347.0,100.58,BANJARMASIN,2025-09-25T15:00:00.000Z
SSGZ25000144,PKK.DN.IDBDJ.2509.002980,BAKAU,"TERA LOGISTIC INDONESIA, PT",Request PPKB,4408.0,105.16,BANJARMASIN,2025-09-25T15:00:00.000Z
MU2125000001,PKK.DN.IDBDJ.2509.002978,MERATUS ULTIMA 2,"MERATUS LINE, PT",Request PPKB,4896.0,106.9,BANJARMASIN,2025-09-23T15:00:00.000Z
MD0825000024,PKK.DN.IDBDJ.2509.002977,MERATUS LEMBAR,"MERATUS LINE, PT",Request PPKB,8588.0,123.6,BANJARMASIN,2025-09-24T15:00:00.000Z
H93P25000124,PKK.DN.IDBDJ.2509.002975,LINA,"GLOBAL TRANS ENERGY INTERNASIONAL, PT",Request PPKB,3345.0,91.5,BANJARMASIN,2025-09-24T15:00:00.000Z
4MPE25000134,PKK.DN.IDBDJ.2509.002974,MBP 1505,"TERA LOGISTIC INDONESIA, PT",Request PPKB,7295.0,114.0,BANJARMASIN,2025-09-25T15:00:00.000Z
V13725000017,,VIRGO SEJATI 137,"UNAQU BORNEO JAYA, PT",Request PPKB,3142.0,91.44,BANJARMASIN,2025-09-23T17:00:00.000Z
FC7625000016,PKK.DN.IDBDJ.2509.002972,SM 3101,"SAGA MAS LESTARI, PT",Request PPKB,4535.0,94.5,BANJARMASIN,2025-09-23T09:00:00.000Z
CBXX57000001,PKK.DN.IDSTU.2503.000187,CB 123,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,5184.0,109.44,KOTABARU,2025-03-07T15:55:00.000Z
P85257000001,PKK.DN.IDSTU.2402.000525,PEC 852,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3890.0,98.26,KOTABARU,2024-02-24T15:00:00.000Z
888S29000052,PKK.DN.IDKOE.2509.000160,SIRIMAU,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Request PPKB,6022.0,99.8,TENAU KUPANG,2025-09-23T17:00:00.000Z
B1GS25000300,PKK.DN.IDBDJ.2509.002970,HAI DA,"TIMUR MILA UTAMA, PT",Request PPKB,9353.0,110.0,BANJARMASIN,2025-09-23T18:00:00.000Z
O98C57000001,PKK.DN.IDSTU.2505.000118,RMN 3331,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,4338.0,96.56,KOTABARU,2025-05-06T15:00:00.000Z
RI2025000036,PKK.DN.IDBDJ.2509.002967,RIMAU 3020,"RIMAU BAHTERA SHIPPING, PT",Request PPKB,3348.0,91.44,BANJARMASIN,2025-09-30T14:29:00.000Z
CL9129000215,PKK.DN.IDKOE.2509.000159,CANTIKA LESTARI 9E,"PELAYARAN DHARMA INDAH, PT",Realization,888.0,64.68,TENAU KUPANG,2025-09-23T14:30:00.000Z
APV025000028,PKK.DN.IDBDJ.2509.002965,ALKEN PERSADA VIII,MITRA BERSAMA MANUNTUNG PT,Request PPKB,643.0,56.55,BANJARMASIN,2025-09-25T22:00:00.000Z
SPKK57000001,PKK.DN.IDSTU.2509.000458,TAMA 3056,JANGKAR BAHUREKSO BERIBADAT,Realization,3492.0,91.44,KOTABARU,2025-09-27T15:55:00.000Z
S25323000007,PKK.DN.IDBJU.2509.000151,SURYA PIONEER,"HARAPAN CIPTA PERKASA, PT",Request PPKB,3810.0,97.4,TANJUNG WANGI,2025-10-03T16:00:00.000Z
469X74000001,PKK.DN.IDKUM.2509.000129,SLM ARTEMIS 1,"DELANG MAKMUR JAYA, PT",Request PPKB,3214.0,94.0,KUMAI,2025-09-30T10:00:00.000Z
459657000006,PKK.DN.IDSTU.2509.000312,PACIFIC 3302,"PANCARAN SAMUDERA SAKTI, PT",Request PPKB,4332.0,96.56,KOTABARU,2025-09-17T15:00:00.000Z
SB1374000001,PKK.DN.IDKUM.2509.000130,SAMUDERA BIRU 168,"DELANG MAKMUR JAYA, PT",Request PPKB,2101.0,85.3,KUMAI,2025-09-27T10:00:00.000Z
SKB283000002,PKK.DN.IDSMQ.2509.000385,SUKSES BERSAMA II,SUMBER SUNGAI MENTAYA,Request PPKB,2554.0,82.3,SAMPIT,2025-09-28T16:00:00.000Z
UGK557000001,PKK.DN.IDSTU.2307.000365,RALINE 7,PT. BATULICIN NUSANTARA MARITIM Tbk,Request PPKB,3245.0,91.44,KOTABARU,2023-07-31T02:08:00.000Z
KRBH57000001,,KRI BUNG HATTA 370,TNI ANGKATAN LAUT,Request PPKB,800.0,80.0,KOTABARU,2025-09-24T14:00:00.000Z
A6OB25000007,PKK.DN.IDBDJ.2509.002962,BENUA 178,"GAYATRI SAMUDERA MANDIRI, PT",Request PPKB,2994.0,98.18,BANJARMASIN,2025-09-30T11:37:00.000Z
DPFW83000003,PKK.DN.IDSMQ.2509.000383,SAHABAT KAPUAS MANDIRI XXXIII,SUMBER SUNGAI MENTAYA,Request PPKB,1567.0,69.86,SAMPIT,2025-09-28T16:00:00.000Z
MJL725000125,PKK.DN.IDBDJ.2509.002957,MJL 331,"TERA LOGISTIC INDONESIA, PT",Realization,4332.0,100.58,BANJARMASIN,2025-09-25T15:00:00.000Z
K9M429000001,PKK.DN.IDKOE.2509.000156,ROYAL GLORY,PT. KAMA WASTU NARENDRA,Request PPKB,2989.0,97.0,TENAU KUPANG,2025-09-26T15:00:00.000Z
MF1031000126,PKK.DN.IDLBR.2509.000159,MUTIARA FERINDO 1,"ATOSIM LAMPUNG PELAYARAN, PT",Realization,18460.0,166.0,LEMBAR,2025-09-23T08:00:00.000Z
PJ0325000028,,PARTA JAYA 3003,"BERKAH BATU ANTING, PT",Realization,3058.0,91.44,BANJARMASIN,2025-09-22T19:00:00.000Z
MD1625000127,PKK.DN.IDBDJ.2509.002955,MASADA 16,"TERA LOGISTIC INDONESIA, PT",Realization,3245.0,87.78,BANJARMASIN,2025-09-25T15:00:00.000Z
TOL225000001,PKK.DN.IDBDJ.2509.002951,LL 3012,"WIRATRANS SAMUDERA, PT",Realization,3024.0,91.44,BANJARMASIN,2025-09-23T14:00:00.000Z
QXOD25000011,,MERATUS KASUARI,PT Immanu Sukses Bersama,Realization,3329.0,85.95,BANJARMASIN,2025-09-22T17:00:00.000Z
4ZGJ57000001,PKK.DN.IDKBU.2509.000654,BKT 125,PT. PRIMA SAMUDRA SAKTI,Request PPKB,2073.0,74.98,KOTABARU,2025-09-24T12:00:00.000Z
GA0009000023,PKK.DN.IDSRG.2509.000282,GAS AMBALAT,"PERTAMINA TRANS KONTINENTAL, PT",Request PPKB,5079.0,107.0,TANJUNG EMAS,2025-09-24T01:00:00.000Z
MB1B25000003,PKK.DN.IDBDJ.2509.002944,KBT 07,"ADYA TRIAMARGA, PT",Request PPKB,1441.0,70.0,BANJARMASIN,2025-09-30T15:00:00.000Z
121L25000144,PKK.DN.IDBDJ.2509.002941,MBP 1402,"TERA LOGISTIC INDONESIA, PT",Realization,7950.0,112.5,BANJARMASIN,2025-09-25T15:00:00.000Z
T42A25000118,PKK.DN.IDBDJ.2509.002939,MBP 1301,"TERA LOGISTIC INDONESIA, PT",Realization,5886.0,111.25,BANJARMASIN,2025-09-25T15:00:00.000Z
222B29000021,PKK.DN.IDKOE.2509.000155,BINAIYA,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,6022.0,91.5,TENAU KUPANG,2025-09-23T04:00:00.000Z
